Repository,Repo URL,Commit SHA,Commit Date (UTC),Commit URL,File Path,Line,File URL at Commit,Signal,Category,Code Snippet,Short Description
jxiw/ADOPT,https://github.com/jxiw/ADOPT,441ec73de31a236a145fc389950597dc53ddac2b,2022-04-19T20:52:08Z,https://github.com/jxiw/ADOPT/commit/441ec73de31a236a145fc389950597dc53ddac2b,src/joining/JoinProcessorOld.java,21,https://github.com/jxiw/ADOPT/blob/441ec73de31a236a145fc389950597dc53ddac2b/src/joining/JoinProcessorOld.java#L21,parallelStream(,Parallel Streams,"19: 
   20: /**
>> 21:  * Controls the join phase.
   22:  *
   23:  * @author immanueltrummer",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,c6267dd40836b77b204fdfa366cb804de0b9f7c9,2021-09-21T20:12:48Z,https://github.com/jxiw/ADOPT/commit/c6267dd40836b77b204fdfa366cb804de0b9f7c9,src/compression/Compressor.java,19,https://github.com/jxiw/ADOPT/blob/c6267dd40836b77b204fdfa366cb804de0b9f7c9/src/compression/Compressor.java#L19,.parallel(),Parallel Streams,"17: 
   18: /**
>> 19:  * Compresses the current database for smaller memory footprint
   20:  * and faster processing. Currently focused on compressing string
   21:  * columns.",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,a8d7db7c0c4282872620ea89d81486cfd52d0f44,2022-03-04T16:06:27Z,https://github.com/jxiw/ADOPT/commit/a8d7db7c0c4282872620ea89d81486cfd52d0f44,src/buffer/BufferManager.java,28,https://github.com/jxiw/ADOPT/blob/a8d7db7c0c4282872620ea89d81486cfd52d0f44/src/buffer/BufferManager.java#L28,.parallel(),Parallel Streams,"26: 
   27: /**
>> 28:  * Manages the main memory database buffer.
   29:  * 
   30:  * @author immanueltrummer",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,9b2f79b4d6c1193c50027456d25a25580be5bb4f,2023-05-18T20:56:52Z,https://github.com/jxiw/ADOPT/commit/9b2f79b4d6c1193c50027456d25a25580be5bb4f,src/joining/join/wcoj/LFTJiter.java,22,https://github.com/jxiw/ADOPT/blob/9b2f79b4d6c1193c50027456d25a25580be5bb4f/src/joining/join/wcoj/LFTJiter.java#L22,.parallel(),Parallel Streams,"20: import static config.NamingConfig.FILTERED_PRE;
   21: 
>> 22: public class LFTJiter {
   23:     /**
   24:      * Cardinality of table that we",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,c6267dd40836b77b204fdfa366cb804de0b9f7c9,2021-09-21T20:12:48Z,https://github.com/jxiw/ADOPT/commit/c6267dd40836b77b204fdfa366cb804de0b9f7c9,src/util/CartesianProduct.java,10,https://github.com/jxiw/ADOPT/blob/c6267dd40836b77b204fdfa366cb804de0b9f7c9/src/util/CartesianProduct.java#L10,Stream.of(,Streams,"8: import java.util.stream.Stream;
   9: 
>> 10: public class CartesianProduct {
   11: 
   12:     public static <T> List<List<T>> constructCombinations(",Uses Java streams for data processing.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,159bd27e070d16a8fd962bdc10b1177c178c86bd,2022-04-18T19:07:09Z,https://github.com/jxiw/ADOPT/commit/159bd27e070d16a8fd962bdc10b1177c178c86bd,src/joining/ParallelLFTJ.java,15,https://github.com/jxiw/ADOPT/blob/159bd27e070d16a8fd962bdc10b1177c178c86bd/src/joining/ParallelLFTJ.java#L15,Arrays.stream(,Streams,"13: import java.util.stream.Collectors;
   14: 
>> 15: public class ParallelLFTJ {
   16: 
   17:     public final HashMap<AttributeOrder, HyperCubeEvaluationTask> orderToLFTJ;",Uses Java streams for data processing.
BIOP/qupath-extension-cellpose,https://github.com/BIOP/qupath-extension-cellpose,34c5679fee6b3bc69e2983d57dc764ec80929fac,2025-07-08T11:31:33Z,https://github.com/BIOP/qupath-extension-cellpose/commit/34c5679fee6b3bc69e2983d57dc764ec80929fac,src/main/java/qupath/ext/biop/cellpose/Cellpose2D.java,99,https://github.com/BIOP/qupath-extension-cellpose/blob/34c5679fee6b3bc69e2983d57dc764ec80929fac/src/main/java/qupath/ext/biop/cellpose/Cellpose2D.java#L99,parallelStream(,Parallel Streams,"97: import java.util.Objects;
   98: import java.util.Optional;
>> 99: import java.util.TreeMap;
   100: import java.util.concurrent.CancellationException;
   101: import java.util.concurrent.ExecutorService;",Introduces parallel processing on a stream.
BIOP/qupath-extension-cellpose,https://github.com/BIOP/qupath-extension-cellpose,34c5679fee6b3bc69e2983d57dc764ec80929fac,2025-07-08T11:31:33Z,https://github.com/BIOP/qupath-extension-cellpose/commit/34c5679fee6b3bc69e2983d57dc764ec80929fac,src/main/java/qupath/ext/biop/cellpose/CellposeExtension.java,29,https://github.com/BIOP/qupath-extension-cellpose/blob/34c5679fee6b3bc69e2983d57dc764ec80929fac/src/main/java/qupath/ext/biop/cellpose/CellposeExtension.java#L29,parallelStream(,Parallel Streams,"27: 
   28: /**
>> 29:  * Install Cellpose as an extension.
   30:  * <p>
   31:  * Installs Cellpose into QuPath, adding some metadata and adds the necessary global variables to QuPath's Preferences",Introduces parallel processing on a stream.
BIOP/qupath-extension-cellpose,https://github.com/BIOP/qupath-extension-cellpose,9c1d3d59ff70f1ee1dfc8c4f306b663a1626fb05,2025-06-30T08:44:53Z,https://github.com/BIOP/qupath-extension-cellpose/commit/9c1d3d59ff70f1ee1dfc8c4f306b663a1626fb05,src/main/java/qupath/ext/biop/cellpose/CellposeBuilder.java,31,https://github.com/BIOP/qupath-extension-cellpose/blob/9c1d3d59ff70f1ee1dfc8c4f306b663a1626fb05/src/main/java/qupath/ext/biop/cellpose/CellposeBuilder.java#L31,Arrays.stream(,Streams,"29: import qupath.lib.objects.PathObjects;
   30: import qupath.lib.objects.classes.PathClass;
>> 31: import qupath.lib.roi.interfaces.ROI;
   32: import qupath.lib.scripting.QP;
   33: import qupath.opencv.ops.ImageOp;",Uses Java streams for data processing.
BIOP/qupath-extension-cellpose,https://github.com/BIOP/qupath-extension-cellpose,439ecca36e642bdb8ce1798eb9695acaad29cfaa,2024-08-12T06:34:38Z,https://github.com/BIOP/qupath-extension-cellpose/commit/439ecca36e642bdb8ce1798eb9695acaad29cfaa,src/main/java/qupath/ext/biop/cmd/VirtualEnvironmentRunner.java,20,https://github.com/BIOP/qupath-extension-cellpose/blob/439ecca36e642bdb8ce1798eb9695acaad29cfaa/src/main/java/qupath/ext/biop/cmd/VirtualEnvironmentRunner.java#L20,new Thread(,Threads,"18: 
   19: /**
>> 20:  * A wrapper to run python virtualenvs, that tries to figure out the commands to run based on the environment type
   21:  *
   22:  * @author Olivier Burri",Spawns or manages explicit threads.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,61bb57d895f023617cb55045a4907849fd1ff566,2023-10-01T18:54:05Z,https://github.com/mdfairch/FallrimTools/commit/61bb57d895f023617cb55045a4907849fd1ff566,src/main/java/resaver/ess/papyrus/Worrier.java,24,https://github.com/mdfairch/FallrimTools/blob/61bb57d895f023617cb55045a4907849fd1ff566/src/main/java/resaver/ess/papyrus/Worrier.java#L24,parallelStream(,Parallel Streams,"22: import java.util.Map;
   23: import java.util.Objects;
>> 24: import java.util.Optional;
   25: import java.util.stream.Collectors;
   26: import java.util.stream.Stream;",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,4055b0bd202c180c6291680816b55d7e94782c53,2022-10-06T00:56:42Z,https://github.com/mdfairch/FallrimTools/commit/4055b0bd202c180c6291680816b55d7e94782c53,src/main/java/resaver/ess/papyrus/PapyrusDefinitionMap.java,8,https://github.com/mdfairch/FallrimTools/blob/4055b0bd202c180c6291680816b55d7e94782c53/src/main/java/resaver/ess/papyrus/PapyrusDefinitionMap.java#L8,parallelStream(,Parallel Streams,"6:  * You may obtain a copy of the License at
   7:  *
>> 8:  *      http://www.apache.org/licenses/LICENSE-2.0
   9:  *
   10:  * Unless required by applicable law or agreed to in writing, software",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,f05f4cc4b9c0d5ecee303198b214297a43d25595,2023-08-15T21:03:31Z,https://github.com/mdfairch/FallrimTools/commit/f05f4cc4b9c0d5ecee303198b214297a43d25595,src/main/java/resaver/ess/ESS.java,40,https://github.com/mdfairch/FallrimTools/blob/f05f4cc4b9c0d5ecee303198b214297a43d25595/src/main/java/resaver/ess/ESS.java#L40,parallelStream(,Parallel Streams,"38: import java.util.logging.Logger;
   39: import java.util.regex.Matcher;
>> 40: import java.util.regex.Pattern;
   41: import java.util.stream.Collectors;
   42: import java.util.zip.CRC32;",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,90b92b6012001b5a298b197c649daea80e089109,2023-07-20T02:36:30Z,https://github.com/mdfairch/FallrimTools/commit/90b92b6012001b5a298b197c649daea80e089109,src/main/java/resaver/ess/papyrus/Reference.java,15,https://github.com/mdfairch/FallrimTools/blob/90b92b6012001b5a298b197c649daea80e089109/src/main/java/resaver/ess/papyrus/Reference.java#L15,parallelStream(,Parallel Streams,"13:  * See the License for the specific language governing permissions and
   14:  * limitations under the License.
>> 15:  */
   16: package resaver.ess.papyrus;
   17:",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,28502a1b0524a30c3d0e0f5fc37c50bf5e8acdf8,2023-09-07T19:21:26Z,https://github.com/mdfairch/FallrimTools/commit/28502a1b0524a30c3d0e0f5fc37c50bf5e8acdf8,src/main/java/resaver/gui/Configurator.java,35,https://github.com/mdfairch/FallrimTools/blob/28502a1b0524a30c3d0e0f5fc37c50bf5e8acdf8/src/main/java/resaver/gui/Configurator.java#L35,parallelStream(,Parallel Streams,"33: import java.util.concurrent.ExecutionException;
   34: import java.util.concurrent.FutureTask;
>> 35: import java.util.function.Predicate;
   36: import java.util.function.Supplier;
   37: import java.util.logging.Level;",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4,2023-09-07T19:21:58Z,https://github.com/mdfairch/FallrimTools/commit/17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4,src/main/java/resaver/ess/papyrus/PapyrusContext.java,19,https://github.com/mdfairch/FallrimTools/blob/17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4/src/main/java/resaver/ess/papyrus/PapyrusContext.java#L19,parallelStream(,Parallel Streams,"17: 
   18: import java.nio.ByteBuffer;
>> 19: import java.util.Collections;
   20: import java.util.List;
   21: import java.util.Map;",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4,2023-09-07T19:21:58Z,https://github.com/mdfairch/FallrimTools/commit/17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4,src/main/java/resaver/ess/papyrus/PapyrusElementList.java,13,https://github.com/mdfairch/FallrimTools/blob/17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4/src/main/java/resaver/ess/papyrus/PapyrusElementList.java#L13,parallelStream(,Parallel Streams,"11:  * distributed under the License is distributed on an ""AS IS"" BASIS,
   12:  * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
>> 13:  * See the License for the specific language governing permissions and
   14:  * limitations under the License.
   15:  */",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,7d8f8a783066ed49a34a1942ce97abc5fdf4624d,2022-10-07T19:35:30Z,https://github.com/mdfairch/FallrimTools/commit/7d8f8a783066ed49a34a1942ce97abc5fdf4624d,src/main/java/resaver/ess/GlobalVariableTable.java,9,https://github.com/mdfairch/FallrimTools/blob/7d8f8a783066ed49a34a1942ce97abc5fdf4624d/src/main/java/resaver/ess/GlobalVariableTable.java#L9,parallelStream(,Parallel Streams,"7:  *
   8:  *      http://www.apache.org/licenses/LICENSE-2.0
>> 9:  *
   10:  * Unless required by applicable law or agreed to in writing, software
   11:  * distributed under the License is distributed on an ""AS IS"" BASIS,",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,4055b0bd202c180c6291680816b55d7e94782c53,2022-10-06T00:56:42Z,https://github.com/mdfairch/FallrimTools/commit/4055b0bd202c180c6291680816b55d7e94782c53,src/main/java/resaver/ess/AnimObjects.java,11,https://github.com/mdfairch/FallrimTools/blob/4055b0bd202c180c6291680816b55d7e94782c53/src/main/java/resaver/ess/AnimObjects.java#L11,parallelStream(,Parallel Streams,"9:  *
   10:  * Unless required by applicable law or agreed to in writing, software
>> 11:  * distributed under the License is distributed on an ""AS IS"" BASIS,
   12:  * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
   13:  * See the License for the specific language governing permissions and",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,4055b0bd202c180c6291680816b55d7e94782c53,2022-10-06T00:56:42Z,https://github.com/mdfairch/FallrimTools/commit/4055b0bd202c180c6291680816b55d7e94782c53,src/main/java/resaver/ess/FileLocationTable.java,11,https://github.com/mdfairch/FallrimTools/blob/4055b0bd202c180c6291680816b55d7e94782c53/src/main/java/resaver/ess/FileLocationTable.java#L11,parallelStream(,Parallel Streams,"9:  *
   10:  * Unless required by applicable law or agreed to in writing, software
>> 11:  * distributed under the License is distributed on an ""AS IS"" BASIS,
   12:  * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
   13:  * See the License for the specific language governing permissions and",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,10fcd5eb5d16dec99cba3fc206e08a49a6558a0f,2023-08-15T21:06:04Z,https://github.com/mdfairch/FallrimTools/commit/10fcd5eb5d16dec99cba3fc206e08a49a6558a0f,src/main/java/resaver/gui/FilterTreeModel.java,22,https://github.com/mdfairch/FallrimTools/blob/10fcd5eb5d16dec99cba3fc206e08a49a6558a0f/src/main/java/resaver/gui/FilterTreeModel.java#L22,parallelStream(,Parallel Streams,"20: import javax.swing.event.TreeModelListener;
   21: import javax.swing.tree.TreeModel;
>> 22: import resaver.ess.Element;
   23: import resaver.ess.ESS;
   24: import resaver.ess.papyrus.HasID;",Introduces parallel processing on a stream.
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4,2023-09-07T19:21:58Z,https://github.com/mdfairch/FallrimTools/commit/17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4,src/main/java/resaver/ess/papyrus/Papyrus.java,20,https://github.com/mdfairch/FallrimTools/blob/17f7571b2ef5e0cfa7a7844de8a9c4604426f5b4/src/main/java/resaver/ess/papyrus/Papyrus.java#L20,parallelStream(,Parallel Streams,"18: import java.nio.Buffer;
   19: import java.nio.BufferUnderflowException;
>> 20: import resaver.ListException;
   21: import java.nio.ByteBuffer;
   22: import java.nio.ByteOrder;",Introduces parallel processing on a stream.
